,Target ID,Plate ID,MJD,OBSVHELIO (km/s),OBSVREL Error (km/s)
166210,apo25m.5226.150-08-RV.2M03263984+4522118,9290,57788,-68.038956,0.0044118315
166211,apo25m.5226.150-08-RV.2M03263984+4522118,9290,57789,-67.69768,0.0021417835
166212,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58006,-67.6582,0.0023593137
166213,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58032,-67.663826,0.00275498
166214,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58054,-67.688126,0.0019081093
166215,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58063,-67.811646,0.001892224
166216,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58068,-67.851654,0.0020415755
166217,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58085,-67.74811,0.0023698963
166218,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58087,-67.7246,0.0021198054
166219,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58114,-67.73305,0.004109096
166220,apo25m.5226.150-08-RV.2M03263984+4522118,9290,58143,-67.523415,0.0019066236
166343,apo25m.5226.150-08-RV.2M03264360+4555595,9290,57706,14.874487,0.044447754
166344,apo25m.5226.150-08-RV.2M03264360+4555595,9290,57732,14.511638,0.038565286
166345,apo25m.5226.150-08-RV.2M03264360+4555595,9290,57734,14.470188,0.04267706
166346,apo25m.5226.150-08-RV.2M03264360+4555595,9290,57735,14.420817,0.055794984
166347,apo25m.5226.150-08-RV.2M03264360+4555595,9290,57760,15.145599,0.058269843
166348,apo25m.5226.150-08-RV.2M03264360+4555595,9290,57788,14.729774,0.10066526
166349,apo25m.5226.150-08-RV.2M03264360+4555595,9290,57789,14.968508,0.040977698
166350,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58006,15.084009,0.045788825
166351,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58032,14.795725,0.05044589
166352,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58054,14.828142,0.036588807
166353,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58063,14.833904,0.032719374
166354,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58068,14.887327,0.035703767
166355,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58085,14.783188,0.042332746
166356,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58087,14.735528,0.036505006
166357,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58114,14.381672,0.08502862
166358,apo25m.5226.150-08-RV.2M03264360+4555595,9290,58143,14.835888,0.033460025
166518,apo25m.5226.150-08-RV.2M03264888+4530001,9290,57706,-43.35439,0.0068476344
166519,apo25m.5226.150-08-RV.2M03264888+4530001,9290,57732,-43.359524,0.0062643904
166520,apo25m.5226.150-08-RV.2M03264888+4530001,9290,57734,-43.292637,0.0070744497
166521,apo25m.5226.150-08-RV.2M03264888+4530001,9290,57735,-43.44154,0.007748035
166522,apo25m.5226.150-08-RV.2M03264888+4530001,9290,57760,-43.376965,0.009590001
166523,apo25m.5226.150-08-RV.2M03264888+4530001,9290,57788,-43.590096,0.014356402
166524,apo25m.5226.150-08-RV.2M03264888+4530001,9290,57789,-43.446964,0.0063676094
166525,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58006,-43.685932,0.007690848
166526,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58032,-43.848095,0.009057829
166527,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58054,-43.512783,0.0061928686
166528,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58063,-43.6352,0.0076229745
166529,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58068,-43.309845,0.008172282
166530,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58085,-43.37622,0.00980389
166531,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58087,-43.30193,0.0089987945
166532,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58114,-43.59982,0.013664302
166533,apo25m.5226.150-08-RV.2M03264888+4530001,9290,58143,-43.30836,0.0062492243
166752,apo25m.5226.150-08-RV.2M03265861+4649514,9290,57706,-34.506107,0.016138423
166753,apo25m.5226.150-08-RV.2M03265861+4649514,9290,57732,-34.48662,0.014307801
166754,apo25m.5226.150-08-RV.2M03265861+4649514,9290,57734,-34.465878,0.015419782
166755,apo25m.5226.150-08-RV.2M03265861+4649514,9290,57735,-34.503098,0.019126782
166756,apo25m.5226.150-08-RV.2M03265861+4649514,9290,57760,-34.222103,0.016762855
166757,apo25m.5226.150-08-RV.2M03265861+4649514,9290,57788,-34.158943,0.03621933
166758,apo25m.5226.150-08-RV.2M03265861+4649514,9290,57789,-34.499653,0.014811713
166759,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58006,-34.448414,0.019108221
166760,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58032,-34.38919,0.022245796
166761,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58054,-34.524124,0.013847604
166762,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58063,-34.329994,0.010919138
166763,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58068,-34.336708,0.013358458
166764,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58085,-34.51363,0.013545899
166765,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58087,-34.44078,0.012808962
166766,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58114,-34.383575,0.03106655
166767,apo25m.5226.150-08-RV.2M03265861+4649514,9290,58143,-34.310627,0.011497192
166806,apo25m.5226.150-08-RV.2M03270027+4532373,9290,57706,-81.868065,0.03089401
166807,apo25m.5226.150-08-RV.2M03270027+4532373,9290,57732,-81.8351,0.02895551
166808,apo25m.5226.150-08-RV.2M03270027+4532373,9290,57734,-81.96962,0.032089178
166809,apo25m.5226.150-08-RV.2M03270027+4532373,9290,57735,-82.02689,0.03683876
166810,apo25m.5226.150-08-RV.2M03270027+4532373,9290,57760,-81.838646,0.04128631
166811,apo25m.5226.150-08-RV.2M03270027+4532373,9290,57788,-82.19535,0.0760726
166812,apo25m.5226.150-08-RV.2M03270027+4532373,9290,57789,-81.835266,0.030054843
166813,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58006,-81.556305,0.032066002
166814,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58032,-81.90225,0.03792425
166815,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58054,-81.675064,0.025500271
166816,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58063,-81.76843,0.025881488
166817,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58068,-81.705246,0.025644548
166818,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58085,-81.68938,0.03246346
166819,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58087,-81.648796,0.027621005
166820,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58114,-81.44544,0.059948783
166821,apo25m.5226.150-08-RV.2M03270027+4532373,9290,58143,-81.63112,0.027216386
166828,apo25m.5226.150-08-RV.2M03270048+4603439,9290,57706,24.688177,0.0034144204
166829,apo25m.5226.150-08-RV.2M03270048+4603439,9290,57732,24.666437,0.0027988409
166830,apo25m.5226.150-08-RV.2M03270048+4603439,9290,57734,24.680164,0.003150934
166831,apo25m.5226.150-08-RV.2M03270048+4603439,9290,57735,24.58765,0.003654128
166832,apo25m.5226.150-08-RV.2M03270048+4603439,9290,57760,24.845276,0.00416647
166833,apo25m.5226.150-08-RV.2M03270048+4603439,9290,57788,24.7326,0.010445692
166834,apo25m.5226.150-08-RV.2M03270048+4603439,9290,57789,24.793186,0.004650494
166835,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58006,24.83025,0.0033486113
166836,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58032,24.766842,0.0043601305
166837,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58054,24.680859,0.0029108904
166838,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58063,24.677467,0.0026811336
166839,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58068,24.633673,0.003055535
166840,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58085,24.616024,0.0033436373
166841,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58087,24.69453,0.003024224
166842,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58114,24.55154,0.0062136664
166843,apo25m.5226.150-08-RV.2M03270048+4603439,9290,58143,24.963842,0.002775878
166849,apo25m.5226.150-08-RV.2M03270057+4636386,9290,57706,-10.422966,0.04001766
166850,apo25m.5226.150-08-RV.2M03270057+4636386,9290,57732,-10.368096,0.031887654
166851,apo25m.5226.150-08-RV.2M03270057+4636386,9290,57734,-10.382747,0.034734923
166852,apo25m.5226.150-08-RV.2M03270057+4636386,9290,57735,-10.374623,0.047333773
166853,apo25m.5226.150-08-RV.2M03270057+4636386,9290,57760,-10.15195,0.042431578
166854,apo25m.5226.150-08-RV.2M03270057+4636386,9290,57788,-10.349676,0.08327513
166855,apo25m.5226.150-08-RV.2M03270057+4636386,9290,57789,-10.372919,0.03436701
166856,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58006,-10.276358,0.036180567
166857,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58032,-10.141518,0.052109264
166858,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58054,-10.469142,0.030910341
166859,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58063,-10.303692,0.026436348
166860,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58068,-10.289986,0.02989519
166861,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58085,-10.295206,0.03440591
166862,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58087,-10.365656,0.030562004
166863,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58114,-10.348255,0.07109716
166864,apo25m.5226.150-08-RV.2M03270057+4636386,9290,58143,-10.285297,0.029644905
167037,apo25m.5226.150-08-RV.2M03270785+4519348,9290,57706,-77.42495,0.019034168
167038,apo25m.5226.150-08-RV.2M03270785+4519348,9290,57732,-77.44084,0.01864658
167039,apo25m.5226.150-08-RV.2M03270785+4519348,9290,57734,-77.457016,0.020610232
167040,apo25m.5226.150-08-RV.2M03270785+4519348,9290,57735,-77.55761,0.022303034
167041,apo25m.5226.150-08-RV.2M03270785+4519348,9290,57760,-77.18099,0.024605403
167042,apo25m.5226.150-08-RV.2M03270785+4519348,9290,57788,-77.30554,0.04413166
167043,apo25m.5226.150-08-RV.2M03270785+4519348,9290,57789,-77.334915,0.017687207
167044,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58006,-77.13808,0.020497328
167045,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58032,-77.24771,0.023818681
167046,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58054,-77.32326,0.017172558
167047,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58063,-77.36041,0.016748035
167048,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58068,-77.275475,0.017398847
167049,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58085,-77.428276,0.02172061
167050,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58087,-77.30882,0.01896577
167051,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58114,-77.29779,0.03620839
167052,apo25m.5226.150-08-RV.2M03270785+4519348,9290,58143,-77.29936,0.016439296
167122,apo25m.5226.150-08-RV.2M03270863+4534486,9290,57706,4.720109,1.5962602
167123,apo25m.5226.150-08-RV.2M03270863+4534486,9290,57732,-21.692816,1.3776926
167124,apo25m.5226.150-08-RV.2M03270863+4534486,9290,57734,-30.253357,1.498517
167125,apo25m.5226.150-08-RV.2M03270863+4534486,9290,57735,-32.41937,1.5932049
167126,apo25m.5226.150-08-RV.2M03270863+4534486,9290,57760,-2.3811798,2.3397133
167127,apo25m.5226.150-08-RV.2M03270863+4534486,9290,57788,-15.736838,3.468614
167128,apo25m.5226.150-08-RV.2M03270863+4534486,9290,57789,-21.13784,1.3810319
167129,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58006,5.5323753,1.9617645
167130,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58032,-28.934126,1.6652888
167131,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58054,-18.63235,1.3878053
167132,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58063,-13.634018,1.0635926
167133,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58068,-29.95939,1.2716603
167134,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58085,-3.7783723,1.5749962
167135,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58087,0.70664597,1.3342956
167136,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58114,-15.1926775,2.9929235
167137,apo25m.5226.150-08-RV.2M03270863+4534486,9290,58143,-10.981767,1.172139
167294,apo25m.5226.150-08-RV.2M03271604+4644563,9290,57706,-20.838314,0.01872511
167295,apo25m.5226.150-08-RV.2M03271604+4644563,9290,57732,-20.713482,0.014681414
167296,apo25m.5226.150-08-RV.2M03271604+4644563,9290,57734,-20.784899,0.016331336
167297,apo25m.5226.150-08-RV.2M03271604+4644563,9290,57735,-20.913748,0.020983497
167298,apo25m.5226.150-08-RV.2M03271604+4644563,9290,57760,-20.44474,0.023524186
167299,apo25m.5226.150-08-RV.2M03271604+4644563,9290,57788,-20.40887,0.043690477
167300,apo25m.5226.150-08-RV.2M03271604+4644563,9290,57789,-20.5328,0.018900635
167301,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58006,-20.422283,0.018985428
167302,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58032,-20.779362,0.033993702
167303,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58054,-20.651207,0.019292258
167304,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58063,-20.585194,0.014895592
167305,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58068,-20.623537,0.016146192
167306,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58085,-20.801607,0.018880507
167307,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58087,-20.700441,0.01741073
167308,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58114,-20.787422,0.038534846
167309,apo25m.5226.150-08-RV.2M03271604+4644563,9290,58143,-20.54786,0.013783233
167808,apo25m.5226.150-08-RV.2M03273809+4609017,9290,57706,-25.622414,0.002367649
167809,apo25m.5226.150-08-RV.2M03273809+4609017,9290,57732,-25.704943,0.0019167053
167810,apo25m.5226.150-08-RV.2M03273809+4609017,9290,57734,-25.520363,0.002192646
167811,apo25m.5226.150-08-RV.2M03273809+4609017,9290,57735,-25.610626,0.0025544125
167812,apo25m.5226.150-08-RV.2M03273809+4609017,9290,57760,-25.511692,0.0026203347
167813,apo25m.5226.150-08-RV.2M03273809+4609017,9290,57788,-25.907534,0.0042888573
167814,apo25m.5226.150-08-RV.2M03273809+4609017,9290,57789,-25.805433,0.002100381
167815,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58006,-25.902168,0.0021059613
167816,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58032,-25.716572,0.0031812282
167817,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58054,-26.105122,0.0019153928
167818,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58063,-25.869432,0.0017115637
167819,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58068,-25.897772,0.001940863
167820,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58085,-25.907085,0.0021164154
167821,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58087,-25.845846,0.0019584987
167822,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58114,-25.71444,0.0044266926
167823,apo25m.5226.150-08-RV.2M03273809+4609017,9290,58143,-25.651915,0.0018499095
167851,apo25m.5226.150-08-RV.2M03273957+4556544,9290,57706,16.075487,0.008170879
167852,apo25m.5226.150-08-RV.2M03273957+4556544,9290,57732,16.064528,0.006766468
167853,apo25m.5226.150-08-RV.2M03273957+4556544,9290,57734,16.127148,0.00785192
167854,apo25m.5226.150-08-RV.2M03273957+4556544,9290,57735,16.06474,0.008975585
167855,apo25m.5226.150-08-RV.2M03273957+4556544,9290,57760,16.245354,0.010768072
167856,apo25m.5226.150-08-RV.2M03273957+4556544,9290,57788,16.052124,0.017335823
167857,apo25m.5226.150-08-RV.2M03273957+4556544,9290,57789,16.173262,0.007855397
167858,apo25m.5226.150-08-RV.2M03273957+4556544,9290,58006,16.372364,0.008564433
167859,apo25m.5226.150-08-RV.2M03273957+4556544,9290,58032,16.39869,0.010336346
167860,apo25m.5226.150-08-RV.2M03273957+4556544,9290,58054,16.227005,0.0071658255
167861,apo25m.5226.150-08-RV.2M03273957+4556544,9290,58063,16.28742,0.0074430127
167862,apo25m.5226.150-08-RV.2M03273957+4556544,9290,58068,16.291573,0.008147898
167863,apo25m.5226.150-08-RV.2M03273957+4556544,9290,58085,16.271463,0.009333951
